customer_id,total_orders,total_revenue,avg_order_value,first_purchase,last_purchase,country,recency_days,revenue_bin,cum_revenue_pct
18102.0,145,608821.65,575.4457939508507,2009-12-01 09:24:00,2011-12-09 11:50:00,United Kingdom,0,"(596645.276, 608821.65]",0.034312513319289785
14646.0,151,528602.52,137.33502727981295,2009-12-02 16:52:00,2011-12-08 12:12:00,Netherlands,1,"(523587.032, 535763.406]",0.06410396539414642
14156.0,156,313946.37,77.55592144268775,2009-12-01 12:30:00,2011-11-30 10:54:00,EIRE,9,"(304412.3, 316588.674]",0.08179763479990373
14911.0,398,295972.63,26.320376167185415,2009-12-01 11:41:00,2011-12-08 15:54:00,EIRE,0,"(292235.926, 304412.3]",0.0984783241430311
17450.0,51,246973.09,582.4837028301887,2010-09-27 16:59:00,2011-12-01 13:29:00,United Kingdom,7,"(243530.43, 255706.804]",0.11239745372741951
13694.0,143,196482.81,128.8411868852459,2009-12-04 15:26:00,2011-12-06 09:32:00,United Kingdom,3,"(194824.934, 207001.308]",0.12347100709914417
17511.0,60,175603.55,91.89092098377812,2009-12-02 10:52:00,2011-12-07 10:12:00,United Kingdom,2,"(170472.186, 182648.56]",0.13336782852178833
16446.0,2,168472.5,56157.5,2011-05-18 09:52:00,2011-12-09 09:15:00,United Kingdom,0,"(158295.812, 170472.186]",0.14286275187115355
16684.0,55,147142.77,204.93422005571028,2009-12-07 12:56:00,2011-12-05 14:06:00,United Kingdom,3,"(146119.438, 158295.812]",0.1511555552815812
12415.0,28,144458.37,156.00255939524837,2010-06-30 08:30:00,2011-11-15 14:22:00,Australia,23,"(133943.064, 146119.438]",0.15929706888364822
15061.0,127,137818.52,139.6337588652482,2009-12-01 12:18:00,2011-12-06 12:06:00,United Kingdom,3,"(133943.064, 146119.438]",0.1670643678999444
16029.0,107,122209.14,319.08391644908613,2009-12-08 11:23:00,2011-11-01 10:27:00,United Kingdom,38,"(121766.69, 133943.064]",0.17395193956233346
17949.0,118,118628.08,755.5928662420382,2009-12-02 11:07:00,2011-12-08 18:46:00,United Kingdom,0,"(109590.316, 121766.69]",0.1806376866527035
15311.0,208,116771.16,26.335399188092016,2009-12-01 11:21:00,2011-12-09 12:00:00,United Kingdom,0,"(109590.316, 121766.69]",0.18721877979025686
13089.0,203,116737.86,34.72274241522903,2009-12-02 15:44:00,2011-12-07 09:02:00,United Kingdom,2,"(109590.316, 121766.69]",0.19379799617672305
12931.0,57,92347.34,423.61165137614677,2009-12-01 11:46:00,2011-11-18 12:39:00,United Kingdom,21,"(85237.568, 97413.942]",0.19900258989271685
14298.0,82,91194.49,31.841651536312852,2009-12-11 13:49:00,2011-12-01 13:12:00,United Kingdom,7,"(85237.568, 97413.942]",0.20414221026063714
15769.0,46,88704.32,396.0014285714286,2009-12-11 09:58:00,2011-12-02 13:52:00,United Kingdom,6,"(85237.568, 97413.942]",0.20914148740769414
12346.0,12,77556.46,2281.0723529411766,2009-12-14 08:34:00,2011-01-18 10:01:00,United Kingdom,325,"(73061.194, 85237.568]",0.21351248352247912
13798.0,110,75836.87,105.03721606648199,2009-12-08 16:21:00,2011-12-08 15:51:00,United Kingdom,0,"(73061.194, 85237.568]",0.21778656545101804
15838.0,34,74163.0,354.8468899521531,2009-12-15 09:51:00,2011-11-28 14:00:00,United Kingdom,10,"(73061.194, 85237.568]",0.2219663099218306
17841.0,211,70884.07,5.499152055857254,2009-12-02 15:41:00,2011-12-08 12:07:00,United Kingdom,1,"(60884.82, 73061.194]",0.22596125753251506
16754.0,29,67502.47,475.36950704225353,2010-03-08 11:32:00,2010-12-02 17:38:00,United Kingdom,371,"(60884.82, 73061.194]",0.22976562191568042
14096.0,17,65164.79,12.749909998043435,2011-08-30 10:49:00,2011-12-05 17:17:00,United Kingdom,3,"(60884.82, 73061.194]",0.23343823724534835
14088.0,16,64036.8,93.89560117302054,2010-10-14 19:46:00,2011-11-29 16:16:00,United Kingdom,9,"(60884.82, 73061.194]",0.23704728030898561
16422.0,109,63651.47,89.39813202247191,2010-01-12 11:57:00,2011-11-22 14:00:00,United Kingdom,16,"(60884.82, 73061.194]",0.24063460660095856
13081.0,28,59205.15,25.150870858113848,2009-12-08 13:58:00,2011-11-28 10:54:00,United Kingdom,11,"(48708.446, 60884.82]",0.24397134322644745
16013.0,84,57446.44,261.12018181818183,2009-12-08 10:24:00,2011-12-06 10:36:00,United Kingdom,3,"(48708.446, 60884.82]",0.24720896090585454
14680.0,58,57412.77,44.437128482972135,2009-12-04 12:36:00,2011-11-14 16:59:00,United Kingdom,24,"(48708.446, 60884.82]",0.25044468098138456
17389.0,61,57224.68,132.77187935034803,2009-12-04 12:06:00,2011-12-09 09:38:00,United Kingdom,0,"(48708.446, 60884.82]",0.2536698005130111
17850.0,155,56600.08,20.243233190271816,2009-12-05 12:28:00,2010-12-02 15:27:00,United Kingdom,371,"(48708.446, 60884.82]",0.2568597182810025
12748.0,336,56599.39,7.830574156059767,2009-12-04 17:31:00,2011-12-09 12:20:00,United Kingdom,0,"(48708.446, 60884.82]",0.2600495971613588
